iter	Passed	Remaining
0	2	229
1	4	218
2	6	206
3	8	196
4	10	201
5	12	201
6	15	201
7	17	198
8	19	195
9	21	193
10	23	189
11	25	186
12	27	183
13	29	181
14	31	178
15	33	176
16	35	173
17	38	173
18	40	171
19	42	168
20	44	165
21	46	163
22	48	160
23	50	159
24	52	156
25	54	154
26	56	152
27	58	149
28	60	147
29	62	145
30	64	143
31	66	141
32	68	138
33	70	136
34	72	134
35	74	132
36	76	130
37	78	127
38	80	125
39	82	123
40	84	121
41	84	117
42	86	115
43	88	112
44	90	110
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	107	95
53	109	93
54	110	90
55	112	88
56	114	86
57	115	83
58	117	81
59	119	79
60	121	77
61	124	76
62	125	73
63	127	71
64	129	69
65	131	67
66	133	65
67	135	63
68	136	61
69	137	59
70	139	56
71	140	54
72	141	52
73	142	50
74	144	48
75	145	45
76	146	43
77	147	41
78	148	39
79	149	37
80	150	35
81	151	33
82	152	31
83	153	29
84	154	27
85	155	25
86	156	23
87	157	21
88	158	19
89	159	17
90	160	15
91	161	14
92	162	12
93	162	10
94	163	8
95	164	6
96	165	5
97	166	3
98	167	1
99	167	0
